1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.0/org.wso2.carbon.is.migration-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.1/org.wso2.carbon.is.migration-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.10/org.wso2.carbon.is.migration-1.0.10.jar returned status 404
1.0.100			
1.0.101			
1.0.102			
1.0.103			
1.0.104			
1.0.105			
1.0.106			
1.0.107			
1.0.108			
1.0.109			
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.11/org.wso2.carbon.is.migration-1.0.11.jar returned status 404
1.0.110			
1.0.111			
1.0.112			
1.0.113			
1.0.114			
1.0.115			
1.0.116			
1.0.117			
1.0.118			
1.0.119			
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.12/org.wso2.carbon.is.migration-1.0.12.jar returned status 404
1.0.120			
1.0.121			
1.0.122			
1.0.123			
1.0.124			
1.0.125			
1.0.126			
1.0.127			
1.0.128			
1.0.129			
1.0.13			
1.0.130			
1.0.131			
1.0.132			
1.0.133			
1.0.134			
1.0.135			
1.0.136			
1.0.137			
1.0.138			
1.0.139			
1.0.14			
1.0.140			
1.0.141			
1.0.142			
1.0.143			
1.0.144			
1.0.145			
1.0.146			
1.0.147			
1.0.148			
1.0.149			
1.0.15			
1.0.150			
1.0.151			
1.0.152			
1.0.153			
1.0.154			
1.0.155			
1.0.156			
1.0.157			
1.0.158			
1.0.159			
1.0.16			
1.0.160			
1.0.161			
1.0.162			
1.0.163			
1.0.164			
1.0.165			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.165/org.wso2.carbon.is.migration-1.0.165.jar returned status 404
1.0.166			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.166/org.wso2.carbon.is.migration-1.0.166.jar returned status 404
1.0.167			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.167/org.wso2.carbon.is.migration-1.0.167.jar returned status 404
1.0.168			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.168/org.wso2.carbon.is.migration-1.0.168.jar returned status 404
1.0.169			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.169/org.wso2.carbon.is.migration-1.0.169.jar returned status 404
1.0.17			
1.0.170			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.170/org.wso2.carbon.is.migration-1.0.170.jar returned status 404
1.0.171			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.171/org.wso2.carbon.is.migration-1.0.171.jar returned status 404
1.0.172			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/migration/resources/org.wso2.carbon.is.migration/1.0.172/org.wso2.carbon.is.migration-1.0.172.jar returned status 404
