3.0-DEVELOPMENT			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0-DEVELOPMENT/jadex-applications-web-3.0-DEVELOPMENT.jar returned status 404
3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0/jadex-applications-web-3.0.0.jar returned status 404
3.0.0-RC16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0-RC16/jadex-applications-web-3.0.0-RC16.jar returned status 404
3.0.0-RC32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0-RC32/jadex-applications-web-3.0.0-RC32.jar returned status 404
3.0.0-RC51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0-RC51/jadex-applications-web-3.0.0-RC51.jar returned status 404
3.0.0-RC63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0-RC63/jadex-applications-web-3.0.0-RC63.jar returned status 404
3.0.0-RC68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0-RC68/jadex-applications-web-3.0.0-RC68.jar returned status 404
3.0.0-RC80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.0-RC80/jadex-applications-web-3.0.0-RC80.jar returned status 404
3.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.1/jadex-applications-web-3.0.1.jar returned status 404
3.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.102/jadex-applications-web-3.0.102.jar returned status 404
3.0.106			
3.0.112			
3.0.113			
3.0.115			
3.0.117			
3.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.43/jadex-applications-web-3.0.43.jar returned status 404
3.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.69/jadex-applications-web-3.0.69.jar returned status 404
3.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.7/jadex-applications-web-3.0.7.jar returned status 404
3.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.70/jadex-applications-web-3.0.70.jar returned status 404
3.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.71/jadex-applications-web-3.0.71.jar returned status 404
3.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.72/jadex-applications-web-3.0.72.jar returned status 404
3.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.76/jadex-applications-web-3.0.76.jar returned status 404
3.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.77/jadex-applications-web-3.0.77.jar returned status 404
3.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.78/jadex-applications-web-3.0.78.jar returned status 404
3.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.79/jadex-applications-web-3.0.79.jar returned status 404
3.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.81/jadex-applications-web-3.0.81.jar returned status 404
3.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.85/jadex-applications-web-3.0.85.jar returned status 404
3.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.86/jadex-applications-web-3.0.86.jar returned status 404
3.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/activecomponents/jadex/jadex-applications-web/3.0.91/jadex-applications-web-3.0.91.jar returned status 404
3.0.95			
4.0.241		2021-06-14T17:44:14Z	
4.0.244		2021-06-24T14:39:13Z	
4.0.249			
4.0.250			
4.0.252			
4.0.254			
4.0.255			
4.0.256			
4.0.257			
4.0.258			
4.0.260			
4.0.261			
4.0.262			
4.0.263			
4.0.264			
4.0.265			
4.0.266			
4.0.267			
