3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.0/swagger-generator-3.0.0.jar returned status 404
3.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.29/swagger-generator-3.0.29.jar returned status 404
3.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.3/swagger-generator-3.0.3.jar returned status 404
3.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.30/swagger-generator-3.0.30.jar returned status 404
3.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.31/swagger-generator-3.0.31.jar returned status 404
3.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.32/swagger-generator-3.0.32.jar returned status 404
3.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.33/swagger-generator-3.0.33.jar returned status 404
3.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.34/swagger-generator-3.0.34.jar returned status 404
3.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.35/swagger-generator-3.0.35.jar returned status 404
3.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.36/swagger-generator-3.0.36.jar returned status 404
3.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.37/swagger-generator-3.0.37.jar returned status 404
3.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.38/swagger-generator-3.0.38.jar returned status 404
3.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.39/swagger-generator-3.0.39.jar returned status 404
3.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.4/swagger-generator-3.0.4.jar returned status 404
3.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.40/swagger-generator-3.0.40.jar returned status 404
3.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.41/swagger-generator-3.0.41.jar returned status 404
3.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.42/swagger-generator-3.0.42.jar returned status 404
3.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.43/swagger-generator-3.0.43.jar returned status 404
3.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.44/swagger-generator-3.0.44.jar returned status 404
3.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.45/swagger-generator-3.0.45.jar returned status 404
3.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.46/swagger-generator-3.0.46.jar returned status 404
3.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.47/swagger-generator-3.0.47.jar returned status 404
3.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.48/swagger-generator-3.0.48.jar returned status 404
3.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.49/swagger-generator-3.0.49.jar returned status 404
3.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.5/swagger-generator-3.0.5.jar returned status 404
3.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.50/swagger-generator-3.0.50.jar returned status 404
3.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.51/swagger-generator-3.0.51.jar returned status 404
3.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.52/swagger-generator-3.0.52.jar returned status 404
3.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.53/swagger-generator-3.0.53.jar returned status 404
3.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.54/swagger-generator-3.0.54.jar returned status 404
3.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.55/swagger-generator-3.0.55.jar returned status 404
3.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.56/swagger-generator-3.0.56.jar returned status 404
3.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.57/swagger-generator-3.0.57.jar returned status 404
3.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.58/swagger-generator-3.0.58.jar returned status 404
3.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.59/swagger-generator-3.0.59.jar returned status 404
3.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.6/swagger-generator-3.0.6.jar returned status 404
3.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.60/swagger-generator-3.0.60.jar returned status 404
3.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.61/swagger-generator-3.0.61.jar returned status 404
3.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.62/swagger-generator-3.0.62.jar returned status 404
3.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.63/swagger-generator-3.0.63.jar returned status 404
3.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.64/swagger-generator-3.0.64.jar returned status 404
3.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.65/swagger-generator-3.0.65.jar returned status 404
3.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.66/swagger-generator-3.0.66.jar returned status 404
3.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.67/swagger-generator-3.0.67.jar returned status 404
3.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.68/swagger-generator-3.0.68.jar returned status 404
3.0.69		2025-06-20T10:28:05Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.69/swagger-generator-3.0.69.jar returned status 404
3.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.7/swagger-generator-3.0.7.jar returned status 404
3.0.70		2025-07-01T12:19:11Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.70/swagger-generator-3.0.70.jar returned status 404
3.0.71		2025-07-03T17:12:08Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.71/swagger-generator-3.0.71.jar returned status 404
3.0.72		2025-09-02T07:22:50Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.72/swagger-generator-3.0.72.jar returned status 404
3.0.73		2025-09-16T14:06:59Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.73/swagger-generator-3.0.73.jar returned status 404
3.0.74		2025-10-06T11:58:41Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.74/swagger-generator-3.0.74.jar returned status 404
3.0.75		2025-10-14T08:52:26Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.75/swagger-generator-3.0.75.jar returned status 404
3.0.76		2026-01-20T11:03:00Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.76/swagger-generator-3.0.76.jar returned status 404
3.0.77		2026-02-04T15:03:37Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.77/swagger-generator-3.0.77.jar returned status 404
3.0.78		2026-02-17T12:34:17Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.78/swagger-generator-3.0.78.jar returned status 404
3.0.79		2026-04-22T08:38:59Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.79/swagger-generator-3.0.79.jar returned status 404
3.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.8/swagger-generator-3.0.8.jar returned status 404
3.0.80		2026-05-13T13:52:49Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.80/swagger-generator-3.0.80.jar returned status 404
3.0.81		2026-05-18T12:47:29Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.81/swagger-generator-3.0.81.jar returned status 404
3.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.82/swagger-generator-3.0.82.jar returned status 404
3.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-generator/3.0.9/swagger-generator-3.0.9.jar returned status 404
